🦆,Song,Artist,Score,Year,F. Genre(s),B. Genre(s),All descriptors,Comments,BM,Language,Alt. Song Name(s),Alt. Artist Name(s),Notes,Attributes,Owned,Mixtape(s),Added,Conc,ID,Count,A+C,D#,Y#,CI,BC,TC
✓,South London Boroughs,Burial,3.4,2005,Future Garage; Dubstep,Future Garage; Dubstep; UK Garage; EDM; Dance; Electronic,,,,Instrumental,,,,,$-bandcamp,,12/31/2020,Burial - South London Boroughs,,02767,2020-12-31 02767,,,10,#ffffff,#783f04
✓,Nite Train,Burial,3.4,2005,Future Garage; Dubstep,Future Garage; Dubstep; UK Garage; EDM; Dance; Electronic,,,,Instrumental,,,,,$-bandcamp,,12/31/2020,Burial - Nite Train,,02768,2020-12-31 02768,,,11,#ffffff,#783f04
✓,Wounder,Burial,3.4,2006,Dubstep,Dubstep; EDM; Dance; Electronic,,,,Instrumental,,,,,$-bandcamp,,12/31/2020,Burial - Wounder,,02769,2020-12-31 02769,,,12,#4c1130,#ffffff
✓,Night Bus,Burial,3.4,2006,Ambient,Ambient,,,,Instrumental,,,,,$-bandcamp,,12/31/2020,Burial - Night Bus,,02770,2020-12-31 02770,,,13,#4c1130,#ffffff
✓,U Hurt Me,Burial,3.4,2006,Future Garage,Future Garage; UK Garage; EDM; Dance; Electronic,,,,English,,,,,$-bandcamp,,12/31/2020,Burial - U Hurt Me,,02771,2020-12-31 02771,,,14,#4c1130,#ffffff
✓,Gutted,Burial,3.4,2006,Future Garage,Future Garage; UK Garage; EDM; Dance; Electronic,,,,Instrumental,,,,,$-bandcamp,,12/31/2020,Burial - Gutted,,02772,2020-12-31 02772,,,15,#4c1130,#ffffff
✓,Ghost Hardware,Burial,3.4,2007,Future Garage,Future Garage; UK Garage; EDM; Dance; Electronic,,,,English,,,,,$-vinyldl,,12/31/2020,Burial - Ghost Hardware,,02773,2020-12-31 02773,,,16,#666666,#efefef
✓,Endorphin,Burial,3.4,2007,Ambient; Electronic,Ambient; Electronic,,,,Instrumental,,,,,$-vinyldl,,12/31/2020,Burial - Endorphin,,02774,2020-12-31 02774,,,17,#666666,#efefef
✓,Untrue,Burial,3.4,2007,Future Garage,Future Garage; UK Garage; EDM; Dance; Electronic,,,,English,,,,,$-vinyldl,,12/31/2020,Burial - Untrue,,02775,2020-12-31 02775,,,18,#666666,#efefef
✓,Homeless,Burial,3.4,2007,Future Garage; Dubstep,Future Garage; Dubstep; UK Garage; EDM; Dance; Electronic,,,,Instrumental,,,,,$-vinyldl,,12/31/2020,Burial - Homeless,,02776,2020-12-31 02776,,,19,#666666,#efefef
✓,Street Halo,Burial,3.4,2011,Future Garage; Amb–ent House,Future Garage; Amb–ent House; UK Garage; EDM; Dance; Electronic,,,,English,,,,,$-bandcamp,,12/31/2020,Burial - Street Halo,,02777,2020-12-31 02777,,,,#ffffff,#6d662f
✓,Stolen Dog,Burial,3.4,2011,Future Garage,Future Garage; UK Garage; EDM; Dance; Electronic,,,,English,,,,,$-bandcamp,,12/31/2020,Burial - Stolen Dog,,02778,2020-12-31 02778,,,,#ffffff,#6d662f
✓,Chemz,Burial,3.4,2020,Future Garage; 2-Step,Future Garage; 2-Step; UK Garage; EDM; Dance; Electronic,,,,English,,,,,,,12/31/2020,Burial - Chemz,,02779,2020-12-31 02779,,,,#85200c,#ffffff
✓,Woo-Hah!! Got You All in Check,Busta Rhymes,3.4,1996,East Coast Hip Hop; Boom Bap,East Coast Hip Hop; Boom Bap; Scenes & Movements,,,,English,,,,,,,12/31/2020,Busta Rhymes - Woo-Hah!! Got You All in Check,,02780,2020-12-31 02780,,,1,#783f04,#fce5cd
✓,Orgasm Addict,Buzzcocks,3.4,1977,Punk Rock,Punk Rock,,,,English,,,,,,,12/31/2020,Buzzcocks - Orgasm Addict,,02781,2020-12-31 02781,,,,#000000,#d5a6bd
✓,Turn! Turn! Turn! (To Everything There Is a Season),Byrds,3.4,1965,Folk Rock,F0lk Rock,,,,English,,,,,,,12/31/2020,Byrds - Turn! Turn! Turn! (To Everything There Is a Season),,02782,2020-12-31 02782,,,,#2096ce,#ffffff
✓,Minecraft,C418,3.4,2011,Ambient; Video Game Music,Ambient; Video Game Music; Soundtrack; Descriptor Genres,,,,Instrumental,,,,[soundtrack],$-vinyldl,,12/31/2020,C418 - Minecraft,418,02783,2020-12-31 02783,,,,#38761d,#ffffff
✓,Sweden,C418,3.4,2011,Impressionism; Modern Classical; Video Game Music,Impressionism; Modern Classical; Video Game Music; Western Classical; Soundtrack; Descriptor Genres,,,,Instrumental,,,,[soundtrack],$-vinyldl,,12/31/2020,C418 - Sweden,,02784,2020-12-31 02784,,,,#38761d,#ffffff
✓,Feel So Close,Calvin Harris,3.4,2011,Dance-Pop; Electropop,Dance-Pop; Electropop; Electronic,,,,English,,,,,,,12/31/2020,Calvin Harris - Feel So Close,,02785,2020-12-31 02785,,,,#1155cc,#ffffff
✓,Blame,Calvin Harris; ft. John Newman,3.4,2014,Electro House; Dance-Pop,Electro House; Dance-Pop; EDM; Electronic,,,,English,,,,,,,12/31/2020,Calvin Harris; ft. John Newman - Blame,,02786,2020-12-31 02786,,,,#134f5c,#efefef
✓,Lady Fantasy,Camel,3.4,1974,Symphonic Prog,Symphonic Prog; Progressive Rock,,,,English,,,,,,,12/31/2020,Camel - Lady Fantasy,,02787,2020-12-31 02787,,,,#351c75,#f9cb9c
✓,Word Up!,Cameo,3.4,1986,Synth Funk,Synth Funk; R&B,,,,English,,,,,,,12/31/2020,Cameo - Word Up!,,02788,2020-12-31 02788,,,,#000000,#ff1e74
✓,Havana,Camila Cabello,3.4,2017,Contemporary R&B,Contemporary R&B,,,,English,,,,,,,12/31/2020,Camila Cabello - Havana,,02789,2020-12-31 02789,,,,#cc0000,#fff2cc
✓,Paperhouse,Can,3.4,1971,Krautrock; Exp–rimental Rock; Psychedelic Rock,Krautrock; Exp–rimental Rock; Psychedelic Rock; Progressive Rock,,,,English,,,,,,,12/31/2020,Can - Paperhouse,,02790,2020-12-31 02790,,,,#ffffff,#ff6700
✓,Mushroom,Can,3.4,1971,Krautrock; Exp–rimental Rock; Psychedelic Rock,Krautrock; Exp–rimental Rock; Psychedelic Rock; Progressive Rock,,,,English,,,,,,,12/31/2020,Can - Mushroom,,02791,2020-12-31 02791,,,,#ffffff,#ff6700
✓,Pinch,Can,3.4,1972,Krautrock; Exp–rimental Rock,Krautrock; Exp–rimental Rock; Progressive Rock,,,,English,,,,,,,12/31/2020,Can - Pinch,,02792,2020-12-31 02792,,,,#000000,#8fcf6c
✓,Bel Air,Can,3.4,1973,Krautrock; Exp–rimental Rock,Krautrock; Exp–rimental Rock; Progressive Rock,,,,English,,,,,$-vinyldl,,12/31/2020,Can - Bel Air,,02793,2020-12-31 02793,,,,#010d71,#dbad42
✓,Love for Sale,Cannonball Adderley,3.4,1958,Cool Jazz; Hard Bop,Cool Jazz; Hard Bop; Bebop,,,,Instrumental,,,,,$-CD Rip,,12/31/2020,Cannonball Adderley - Love for Sale,,02794,2020-12-31 02794,,,,#000000,#7bc91f
✓,"Violin Concerto, Op. 8 No. 4, ""Winter"": I. Allegro non molto",Capella Istropolitana; Takako Nishizaki,3.4,1988,Baroque Music,Baroque Music; Western Classical; European Music; Regional Music,,,,Instrumental,,,Composer: Vivaldi,[classical]; [collab],,,12/31/2020,"Capella Istropolitana; Takako Nishizaki - Violin Concerto, Op. 8 No. 4, ""Winter"": I. Allegro non molto",,02795,2020-12-31 02795,,,,#c9daf8,#38761d
✓,"Violin Concerto, Op. 8 No. 4, ""Winter"": II. Largo",Capella Istropolitana; Takako Nishizaki,3.4,1988,Baroque Music,Baroque Music; Western Classical; European Music; Regional Music,,,,Instrumental,,,Composer: Vivaldi,[classical]; [collab],,,12/31/2020,"Capella Istropolitana; Takako Nishizaki - Violin Concerto, Op. 8 No. 4, ""Winter"": II. Largo",,02796,2020-12-31 02796,,,,#c9daf8,#38761d
✓,Beach Life-in-Death,Car Seat Headrest,3.4,2017,Indie Rock,Indie Rock; Alternative Rock,,,,English,,,2011 version owned but not 2017 version,,,,12/31/2020,Car Seat Headrest - Beach Life-in-Death,,02797,2020-12-31 02797,,,,#ffffff,#000000
✓,All You Are Going to Want to Do Is Get Back There,Caretaker,3.4,2011,Turntable Music; British Dance Band; Ambient; Hauntology,Turntable Music; British Danc3 Band; Ambient; Hauntology; Experimental; Jazz; Traditional Pop; British Music; European Music; Regional Music; Scenes & Movements,,,,Instrumental,,,,,,,12/31/2020,Caretaker - All You Are Going to Want to Do Is Get Back There,,02798,2020-12-31 02798,,,,#434343,#d9d9d9
✓,Everlasting Love,Carl Carlton,3.4,1974,Pop Soul,Pop Soul; R&B,,,,English,,,,,,,12/31/2020,Carl Carlton - Everlasting Love,,02799,2020-12-31 02799,,,,#ff9900,#000000
✓,Gimmie Love,Carly Rae Jepsen,3.4,2015,Electropop,Electropop; Electronic; Pop,,,,English,,,,,$-GPM,,12/31/2020,Carly Rae Jepsen - Gimmie Love,,02800,2020-12-31 02800,,,,#000000,#ff00ff
✓,Making the Most of the Night,Carly Rae Jepsen,3.4,2015,Dance-Pop; Electropop,Dance-Pop; Electropop; Electronic,,,,English,,,,,$-GPM,,12/31/2020,Carly Rae Jepsen - Making the Most of the Night,,02801,2020-12-31 02801,,,,#000000,#ff00ff
✓,When I Needed You,Carly Rae Jepsen,3.4,2015,Dance-Pop; Synthpop,Dance-Pop; Synthpop; Electronic,,,,English,,,,,$-GPM,,12/31/2020,Carly Rae Jepsen - When I Needed You,,02802,2020-12-31 02802,,,,#000000,#ff00ff
✓,Roses,Carly Rae Jepsen,3.4,2016,Synthpop; Contemporary R&B,Synthpop; Contemporary R&B; Electronic; Pop,,,,English,,,,,,,12/31/2020,Carly Rae Jepsen - Roses,,02803,2020-12-31 02803,,,,#ffff00,#2096ce
✓,Now That I Found You,Carly Rae Jepsen,3.4,2019,Dance-Pop; Electro-Disco,Dance-Pop; Electro-Disco; EDM; Electronic,,,,English,,,Seen live,,,,12/31/2020,Carly Rae Jepsen - Now That I Found You,,02804,2020-12-31 02804,,,,#d9d9d9,#000000
✓,Too Much,Carly Rae Jepsen,3.4,2019,Electropop; Dance-Pop,Electropop; Dance-Pop; Electronic,,,,English,,,,,,,12/31/2020,Carly Rae Jepsen - Too Much,,02805,2020-12-31 02805,,,,#d9d9d9,#000000
✓,I Feel the Earth Move,Carole King,3.4,1971,Piano Rock; Singer-Songwriter,Piano Rock; Singer-Songwriter; Pop Rock,,,,English,,,,,,,12/31/2020,Carole King - I Feel the Earth Move,1600,02806,2020-12-31 02806,,,,#fff2cc,#000000
✓,Ocean of Tears,Caroline Polachek,3.4,2019,Alternative R&B; Glitch Pop,Alternative R&B; Glitch Pop; Contemporary R&B; Electronic; Indietronica,,,,English,,,Seen live,,,,1/1/2021,Caroline Polachek - Ocean of Tears,,02807,2021-01-01 02807,,,,#783f04,#fff2cc
✓,Welcome to My Island,Caroline Polachek,3.4,2022,Synthpop; Dance-Pop,Synthpop; Dance-Pop; Electronic,INC; anthemic; uplifting; lush; tropical; Summer,,,English,,,Seen live,,,,12/5/2022,Caroline Polachek - Welcome to My Island,,02808,2022-12-05 02808,,,,#000000,#fce5cd
✓,River of Jordan,Carter Family,3.4,1928,Country Gospel; Appalachian Folk Music,Country Gospel; Appalachian Folk Music; Traditional Country; American Folk Music; Traditional Folk; Northern American Music; Regional Music,,,,English,,,,,,,1/16/2022,Carter Family - River of Jordan,,02809,2022-01-16 02809,,,,#666666,#ffe599
✓,Wildwood Flower,Carter Family,3.4,1929,Traditional Country; Appalachian Folk Music,Traditional Country; Appalachian Folk Music; American Folk Music; Traditional Folk; Northern American Music; Regional Music,,,,English,,,,,,,12/31/2020,Carter Family - Wildwood Flower,,02810,2020-12-31 02810,,,,#666666,#ffe599
✓,Hard Drive,Cassandra Jenkins,3.4,2021,Spoken Word; Sophisti-Pop; Art Pop,Spoken Word; Sophisti-Pop; Art Pop; Descriptor Genres,,,,English,,,Seen live,,,,2/1/2021,Cassandra Jenkins - Hard Drive,,02811,2021-02-01 02811,,,,#fad3d2,#0b5394
✓,The Ramble,Cassandra Jenkins,3.4,2021,Ambient,Ambient,,,,English,,,Seen live?,,,,10/3/2022,Cassandra Jenkins - The Ramble,,02812,2022-10-03 02812,,,,#fad3d2,#0b5394
✓,Father and Son,Cat Stevens,3.4,1970,Singer-Songwriter; Folk Pop,Singer-Songwriter; Folk Pop; Contemporary Folk,,,,English,,,,,,,10/1/2021,Cat Stevens - Father and Son,,02813,2021-10-01 02813,,,,#fff2cc,#000000
✓,No One's Gonna Love You,Cee Lo Green,3.4,2010,Neo-Soul; Contemporary R&B,Neo-Soul; Contemporary R&B,,,,English,,,,,,,12/31/2020,Cee Lo Green - No One's Gonna Love You,,02814,2020-12-31 02814,,,,#ead1dc,#000000
✓,Roses,Chainsmokers,3.4,2015,Electropop; Future Bass,Electropop; Future Bass; Electronic; Pop; EDM; Dance,,,,English,,,,,,,12/31/2020,Chainsmokers - Roses,,02815,2020-12-31 02815,,,,#ffffff,#ff8b92
✓,Through the Fire,Chaka Khan,3.4,1984,Contemporary R&B; Pop Soul,Contemporary R&B; Pop Soul,INC; love; passionate; resolute; uplifting; triumphant; happy,,,English,,,,,,,12/22/2022,Chaka Khan - Through the Fire,,02816,2022-12-22 02816,,,,#783f04,#e4298b
✓,The End,Change,3.4,1980,Spacesynth; Space Disco,Spacesynth; Space Disco; EDM; Dance; Electronic; Electro-Disco,,,,Instrumental,,,,,,,12/31/2020,Change - The End,,02817,2020-12-31 02817,,,,#fff2cc,#b45f06
✓,Angel in My Pocket,Change,3.4,1980,Disco; Funk,Disco; Funk; Dance; R&B,,,,English,,,,,,,12/31/2020,Change - Angel in My Pocket,,02818,2020-12-31 02818,,,,#fff2cc,#b45f06
✓,Maybe,Chantels,3.4,1957,Girl Group; Doo-Wop,Girl Group; Doo-Wop; Pop; R&B,,,,English,,,,,,,12/31/2020,Chantels - Maybe,,02819,2020-12-31 02819,,,,#fed533,#3d8fbb
✓,Better Git It in Your Soul,Charles Mingus,3.4,1959,Post-Bop,Post-Bop; Jazz,,,,Instrumental,,,,,,,12/31/2020,Charles Mingus - Better Git It in Your Soul,,02820,2020-12-31 02820,,,,#000000,#ffffff
✓,Goodbye Pork Pie Hat,Charles Mingus,3.4,1959,Cool Jazz,Cool Jazz,,,,Instrumental,,,,,,,12/31/2020,Charles Mingus - Goodbye Pork Pie Hat,,02821,2020-12-31 02821,,,,#000000,#ffffff
✓,Wednesday Night Prayer Meeting,Charles Mingus,3.4,1960,Post-Bop,Post-Bop; Jazz,,,,Instrumental,,,,,,,12/31/2020,Charles Mingus - Wednesday Night Prayer Meeting,,02822,2020-12-31 02822,,,,#ffd966,#000000
✓,SuperLove,Charli XCX,3.4,2013,Dance-Pop; Electropop,Dance-Pop; Electropop; Electronic,,,,English,,,,,,,12/31/2020,Charli XCX - SuperLove,,02823,2020-12-31 02823,,,,#ff1e74,#d9d2e9
✓,Spacer Woman,Charlie,3.4,1983,Italo-Disco,Italo-Disco; Electro-Disco; EDM; Dance; Electronic,,,,English,,,,,,,12/31/2020,Charlie - Spacer Woman,,02824,2020-12-31 02824,,,,#134f5c,#ffd700
✓,Parker's Mood,Charlie Parker,3.4,1948,Bebop,Bebop; Jazz,,,,Instrumental,,,,,,,1/1/2021,Charlie Parker - Parker's Mood,,02825,2021-01-01 02825,,,,#cc0000,#ffffff
✓,Smells Like Me,Charlie Puth,3.4,2022,Contemporary R&B; Synthpop,Contemporary R&B; Synthpop; Electronic; Pop,INC; catchy; breakup; bittersweet,,,English,,,,,,,9/10/2022,Charlie Puth - Smells Like Me,,02826,2022-09-10 02826,,,,#d9d9d9,#000000
✓,Setting Sun,Chemical Brothers,3.4,1996,Big Beat; Neo-Psychedelia,Big Beat; Neo-Psychedelia; Breakbeat; EDM; Dance; Electronic,,,,English,,,,,,,12/31/2020,Chemical Brothers - Setting Sun,,02827,2020-12-31 02827,,,1,#000000,#ffffff
✓,But Not for Me,Chet Baker,3.4,1956,Vocal Jazz; Standards,Vocal Jazz; Standards; Traditional Pop,,,,English,,,,,,,3/11/2022,Chet Baker - But Not for Me,,02828,2022-03-11 02828,,,,#b6d7a8,#e06666
✓,Sleep at Night,Chicks,3.4,2020,Country Pop,Country Pop; Northern American Music; Regional Music,,,,English,,,Seen live,,,,1/1/2021,Chicks - Sleep at Night,,02829,2021-01-01 02829,,,,#783f04,#ffff00
✓,Cotidiano,Chico Buarque,3.4,1971,MPB; Singer-Songwriter; Samba,MPB; Singer-Songwriter; Samba; Brazilian Music; South American Music; Regional Music,,,,Portuguese,,,,,,,12/31/2020,Chico Buarque - Cotidiano,,02830,2020-12-31 02830,,,,#b45f06,#ffffff
✓,Calling All the Monsters,China Anne McClain,3.4,2011,Dance-Pop; Teen Pop; Halloween Music,Dance-Pop; Teen Pop; Halloween Music; Holiday Music; Descriptor Genres,,,,English,,,,,,,12/31/2020,China Anne McClain - Calling All the Monsters,,02831,2020-12-31 02831,,,,#cc0000,#ffffff
✓,Me and Giuliani Down by the Schoolyard (A True Story),Chk Chk Chk,3.4,2003,Dance-Punk; Indie Rock,Danc3-Punk; Indie Rock; Post-Punk; Alternative Rock,,,,English,,!!!,,,,,12/31/2020,Chk Chk Chk - Me and Giuliani Down by the Schoolyard (A True Story),,02832,2020-12-31 02832,,,1,#efd431,#000000
✓,Forever,Chris Brown,3.4,2008,Contemporary R&B; Dance-Pop; Electropop,Contemporary R&B; Dance-Pop; Electropop; Electronic,,,,English,,,,,,,12/31/2020,Chris Brown - Forever,,02833,2020-12-31 02833,,,1,#134f5c,#a4c2f4
✓,You Never Knew My Mind,Chris Cornell,3.4,2018,Acoustic Rock,Acoustic Rock,,,,English,,,,[yt*],,,12/31/2020,Chris Cornell - You Never Knew My Mind,,02834,2020-12-31 02834,,,,#000000,#d9d9d9
✓,Lady Marmalade,Christina Aguilera,3.4,2001,Pop Soul; Contemporary R&B; Film Soundtrack,Pop Soul; Contemporary R&B; Film Soundtrack; Descriptor Genres,,,,English,,,,[soundtrack],,,12/31/2020,Christina Aguilera - Lady Marmalade,,02835,2020-12-31 02835,,,2,#b45f06,#ffe599
✓,Fighter,Christina Aguilera,3.4,2003,Pop Rock,Pop Rock,,,,English,,,,,,,12/31/2020,Christina Aguilera - Fighter,,02836,2020-12-31 02836,,,3,#ffffff,#666666
✓,The Twist,Chubby Checker,3.4,1960,Rock & Roll; Rhythm & Bl–es,Rock & Roll; Rhythm & Bl–es; R&B,,,,English,,,,,,,12/31/2020,Chubby Checker - The Twist,,02837,2020-12-31 02837,,,,#ff9900,#000000
✓,Tubthumping,Chumbawamba,3.4,1997,Pop Rock; Alternative Dance,Pop Rock; Alternative Dance; Alternative Rock,,,,English,,,,,,,12/31/2020,Chumbawamba - Tubthumping,,02838,2020-12-31 02838,,,1,#8fcf6c,#000000
✓,The Mother We Share,CHVRCHES,3.4,2012,Synthpop; Electropop,Synthpop; Electropop; Electronic; Pop,,,,English,,,,,$-GPM,,12/31/2020,CHVRCHES - The Mother We Share,,02839,2020-12-31 02839,,,,#cc0000,#8de9fc
✓,Body Party,Ciara,3.4,2013,Contemporary R&B,Contemporary R&B,,,,English,,,,,,,12/31/2020,Ciara - Body Party,,02840,2020-12-31 02840,,,,#134f5c,#ffffff
✓,Wild in the Streets,Circle Jerks,3.4,1982,Hardcore Punk,Hardcore Punk; Punk Rock; Hardcore [Punk],,,,English,,,,,,,12/31/2020,Circle Jerks - Wild in the Streets,,02841,2020-12-31 02841,,,,#ead1dc,#990000
✓,Fly Me to the Moon,Claire,3.4,1995,Vocal Jazz; Television Music; Standards,Vocal Jazz; Television Music; Standards; Soundtrack; Descriptor Genres; Traditional Pop,,,,English,,,,[soundtrack]; [yt*],,,12/31/2020,Claire - Fly Me to the Moon,,02842,2020-12-31 02842,,,1,#741b47,#8de9fc
✓,The Parting Glass,Clancy Brothers,3.5,1959,Irish Folk Music,Irish Folk Music; Celtic Folk Music; European Folk Music; Traditional Folk; Regional Music; European Music,,,,English,,,,,,,12/31/2020,Clancy Brothers - The Parting Glass,,02843,2020-12-31 02843,,,,#783f04,#ffffff
✓,White Riot,Clash,3.4,1977,Punk Rock,Punk Rock,,,,English,,,,,$-CD Rip,,12/31/2020,Clash - White Riot,,02844,2020-12-31 02844,,,,#ffffff,#990000
✓,Weekend (Larry Levan Mix),Class Action,3.4,1983,Boogie; Synth Funk,Boogie; Synth Funk; Disco; R&B; Dance,,,,English,,,,,,,12/31/2020,Class Action - Weekend (Larry Levan Mix),,02845,2020-12-31 02845,,,,#fff2cc,#ff4500
✓,Say the Name,clipping.,3.4,2020,Horrorcore; Exp–rimental Hip Hop,Horrorcore; Exp–rimental Hip Hop; Hardcore Hip Hop,,,,English,,,,,,,12/31/2020,clipping. - Say the Name,,02846,2020-12-31 02846,,,,#000000,#ffe599
✓,Wasted Days,Cloud Nothings,3.4,2012,Post-Hardcore; Emo; Indie Rock,Post-Hardcore; Emo; Indie Rock; Punk; Hardcore [Punk]; Alternative Rock,,,,English,,,,,,,12/31/2020,Cloud Nothings - Wasted Days,,02847,2020-12-31 02847,,,,#cccccc,#000000
✓,Lorelei,Cocteau Twins,3.4,1984,Dream Pop; Ethereal Wave,Dream P0p; Ethereal Wave; Alternative Rock; Darkwave,,,,English,,,,,,,12/31/2020,Cocteau Twins - Lorelei,,02848,2020-12-31 02848,,,,#0c343d,#f9cb9c
✓,Frou-Frou Foxes in Midsummer Fires,Cocteau Twins,3.4,1990,Dream Pop,Dream P0p; Alternative Rock,,,,English,,,,,$-vinyldl,,12/31/2020,Cocteau Twins - Frou-Frou Foxes in Midsummer Fires,,02849,2020-12-31 02849,,,2,#351c75,#e06666
✓,Fotzepolitic,Cocteau Twins,3.4,1990,Dream Pop; Shoegaze,Dream P0p; Shoegaze; Alternative Rock,,,,English,,,,,$-vinyldl,,4/16/2022,Cocteau Twins - Fotzepolitic,,02850,2022-04-16 02850,,,3,#351c75,#e06666
✓,The Light,Common,3.4,2000,Conscious Hip Hop; Neo-Soul,Conscious Hip Hop; Neo-Soul; R&B,,,,English,,,,,,,12/31/2020,Common - The Light,,02851,2020-12-31 02851,,,1,#307429,#ffffff
✓,Drip Drip,Comus,3.4,1971,Freak Folk; Progressive Folk,Freak Folk; Progressive Folk; Psychedelic Folk; Contemporary Folk,,,,English,,,,,,,12/31/2020,Comus - Drip Drip,,02852,2020-12-31 02852,,,,#efefef,#666666
✓,Tears From the Moon (DJ Tiësto's In Search of Sunrise Remix),Conjure One; Tiësto; ft. Sinéad O'Connor,3.4,2002,Vocal Trance,Vocal Trance; EDM; Dance; Electronic,INC; night; epic; party; fun; energetic,,,English,,,,[collab],,,4/7/2023,Conjure One; Tiësto; ft. Sinéad O'Connor - Tears From the Moon (DJ Tiësto's In Search of Sunrise Remix),,02853,2023-04-07 02853,,,1,#000000,#d9d9d9
✓,Talkin' Like You (Two Tall Mountains),Connie Converse,3.4,2009,Contemporary Folk; Singer-Songwriter,Contemporary Folk; Singer-Songwriter,,,,English,,,,,,,12/31/2020,Connie Converse - Talkin' Like You (Two Tall Mountains),,02854,2020-12-31 02854,,,1,#2c2c8a,#a4c2f4
✓,Fault and Fracture,Converge,3.4,2001,Mathcore,Mathcore; Metalcore; Hardcore Punk; Punk Rock; Hardcore [Punk],,,,English,,,,,,,12/31/2020,Converge - Fault and Fracture,,02855,2020-12-31 02855,,,2,#d9d9d9,#000000
✓,Who Needs Enemies?,Cooper Temple Clause,3.4,2002,Indie Rock,Indie Rock; Alternative Rock,,,,English,,,,,,,12/31/2020,Cooper Temple Clause - Who Needs Enemies?,,02856,2020-12-31 02856,,,1,#fff2cc,#000000
✓,Star Fruits Surf Rider,Cornelius,3.4,1997,Shibuya-kei; Neo-Psychedelia; Indietronica; Progressive Pop,Shibuya-kei; Neo-Psychedelia; Indietronica; Progressive Pop; Scenes & Movements; Electronic,,,,Japanese; English,,,,,,,12/31/2020,Cornelius - Star Fruits Surf Rider,,02857,2020-12-31 02857,,,1,#ff9900,#ffffff
✓,Brimful of Asha (Norman Cook Remix),Cornershop,3.4,1997,Big Beat,Big Beat; Breakbeat; EDM; Dance; Electronic,,,,English,,,,,,,12/31/2020,Cornershop - Brimful of Asha (Norman Cook Remix),,02858,2020-12-31 02858,,,1,#b45f06,#fce5cd
✓,Avant Gardener,Courtney Barnett,3.4,2013,Indie Rock; Singer-Songwriter,Indie Rock; Singer-Songwriter; Alternative Rock,,,,English,,,,,,,12/31/2020,Courtney Barnett - Avant Gardener,,02859,2020-12-31 02859,,,,#ffffff,#000000
✓,Kim's Caravan,Courtney Barnett,3.4,2015,Singer-Songwriter; Indie Rock,Singer-Songwriter; Indie Rock; Alternative Rock,,,,English,,,,,,,12/31/2020,Courtney Barnett - Kim's Caravan,,02860,2020-12-31 02860,,,,#38761d,#a4c2f4
✓,Arsonist,Cozy St. Jean,3.4,2022,Singer-Songwriter,Singer-Songwriter,INC; soft; dark; somber; disturbing; melancholic; ethereal; violence; calm; soothing; relaxation; scary; low energy,,,English,,,,,,,12/15/2022,Cozy St. Jean - Arsonist,,02861,2022-12-15 02861,,,,#434343,#fce5cd
✓,Flava in Ya Ear (Remix),Craig Mack,3.4,1994,East Coast Hip Hop; Boom Bap,East Coast Hip Hop; Boom Bap; Scenes & Movements,,,,English,,,,,,,12/31/2020,Craig Mack - Flava in Ya Ear (Remix),,02862,2020-12-31 02862,,,1,#000000,#ff9900
✓,Human Fly,Cramps,3.4,1978,Psychobilly; Punk Bl–es; Garage Punk,Psychobilly; Punk Bl–es; Garage Punk; Rockabilly; Rock & Roll; Punk Rock; Garage Rock,,,,English,,,,,,,12/31/2020,Cramps - Human Fly,,02863,2020-12-31 02863,,,,#000000,#d9d9d9
✓,Mmm Mmm Mmm Mmm,Crash Test Dummies,3.4,1993,Pop Rock,Pop Rock,INC; melancholic; catchy; mysterious,,,English,,,,,,,12/15/2022,Crash Test Dummies - Mmm Mmm Mmm Mmm,,02864,2022-12-15 02864,,,1,#3d85c6,#ffffff
✓,I Put a Spell on You,Creedence Clearwater Revival,3.4,1968,Swamp Rock,Swamp Rock; Roots Rock,,,,English,,,,,$-CD Rip MB,,12/31/2020,Creedence Clearwater Revival - I Put a Spell on You,,02865,2020-12-31 02865,,,,#000000,#f9cb9c
✓,Fortunate Son,Creedence Clearwater Revival,3.4,1969,Swamp Rock,Swamp Rock; Roots Rock,,,,English,,,,,$-CD Rip MB,,12/31/2020,Creedence Clearwater Revival - Fortunate Son,,02866,2020-12-31 02866,,,,#000000,#fff2cc
✓,Up Around the Bend,Creedence Clearwater Revival,3.4,1970,Swamp Rock; Country Rock,Swamp Rock; C0untry Rock; Roots Rock,,,,English,,,,,$-CD Rip MB,,12/31/2020,Creedence Clearwater Revival - Up Around the Bend,,02867,2020-12-31 02867,,,,#351c75,#ffff00
✓,I Heard It Through the Grapevine,Creedence Clearwater Revival,3.4,1970,Swamp Rock,Swamp Rock; Roots Rock,,,,English,,,,,$-CD Rip MB,,12/31/2020,Creedence Clearwater Revival - I Heard It Through the Grapevine,,02868,2020-12-31 02868,,,,#351c75,#ffff00
✓,Have You Ever Seen the Rain,Creedence Clearwater Revival,3.4,1971,Swamp Rock; Folk Rock,Swamp Rock; F0lk Rock; Roots Rock,,,,English,,,,,$-CD Rip MB,,12/31/2020,Creedence Clearwater Revival - Have You Ever Seen the Rain,,02869,2020-12-31 02869,,,,#783f04,#fad3d2
✓,Etérea,Criolo,3.4,2019,Deep House,Deep House; EDM; Dance; Electronic,,,,Portuguese,,,,,,,12/31/2020,Criolo - Etérea,,02870,2020-12-31 02870,,,,#8de9fc,#d12b69
